Yokohama,2020,1.70,69.71,38.92
Yokohama,2021,1.70,67.51,39.22
Yokohama,2022,1.68,68.54,39.05
Yokohama,2009,1.63,65.34,39.38
Kofu,2010,1.52,64.28,39.31
Kofu,2011,1.50,62.37,39.56
Kofu,2012,1.48,62.59,39.47
Kofu,2013,1.55,59.87,39.91
Kofu,2014,1.48,62.31,39.50
Kofu,2015,1.56,63.90,39.42
Kofu,2016,1.57,63.21,39.50
Hachinohe,2010,1.10,73.39,37.51
Kofu,2017,1.50,58.32,40.05
Hachinohe,2011,1.06,72.33,37.60
Kofu,2018,1.60,59.49,40.04
Hachinohe,2012,1.03,75.92,37.08
Kofu,2019,1.59,62.37,39.68
Hachinohe,2013,1.03,75.37,37.15
Hachinohe,2014,1.04,74.80,37.22
Hachinohe,2015,1.13,74.82,37.35
Hachinohe,2016,1.09,73.80,37.46
Hachinohe,2017,1.06,75.33,37.17
Hachinohe,2018,1.09,74.67,37.32
Hachinohe,2019,1.12,73.34,37.53
Yokohama,2010,1.66,66.38,39.27
Yokohama,2011,1.63,66.12,39.30
Yokohama,2012,1.59,66.69,39.15
Yokohama,2013,1.66,65.09,39.47
Yokohama,2014,1.62,66.51,39.22
Yokohama,2015,1.67,69.54,38.90
Yokohama,2016,1.69,69.76,38.90
Yokohama,2017,1.63,66.89,39.19
Yokohama,2018,1.72,68.28,39.14
Yokohama,2019,1.69,67.73,39.17
Kofu,2020,1.59,67.96,38.94
Kofu,2021,1.58,66.02,39.18
Kofu,2022,1.57,67.31,39.01
Kofu,2009,1.51,62.25,39.55
Hachinohe,2020,1.13,77.25,37.03
Hachinohe,2021,1.14,76.10,37.21
Hachinohe,2022,1.12,76.34,37.14
Hachinohe,2009,1.05,73.84,37.36
